,user,matchId,startTime,endTime,map,kills,medalXp,objectiveMedalModeSdDefuseScore,matchXp,averageSpeedDuringMatch,scoreXp,accuracy,wallBangs,losses,avgLifeTime,shotsLanded,score,totalXp,objectiveExecution,headshots,assists,rank,scorePerMinute,distanceTraveled,deaths,wins,kdRatio,shotsMissed,scorePerGame,timePlayed,headshotPercentage,matchesPlayed,executions,suicides,wlRatio,nearmisses,percentTimeMoving,miscXp,objectiveUavAssist,longestStreak,damageDone,shotsFired,damageTaken,objectivePlant,objectiveMedalModeSdDetonateScore,objectiveMedalModeXDefendScore,objectiveMedalModeXAssaultScore,objectiveLastManKill,objectiveDestroyedEquipment,objectiveMedalModeSdDefuseSaveScore,objectiveMedalScoreSsKillCruisePredator,objectiveShieldAssist,objectiveShieldDamage,objectiveMedalModeSdLastDefuseScore,objectiveMedalModeSdPlantSaveScore,objectiveEmpedPlayer,objectiveMedalScoreKillSsRadarDrone,objectiveMedalScoreSsKillHoverJet,objectiveMedalScoreSsKillPrecisionAirstrike,objectivePerkMarkedTarget
37,kingfishy,6610330234395535527,1591816870000,1591817707000,mp_spear,8.0,3980.0,,4744.0,45.05937,1060.0,0.15548780487804878,,0.0,179.6,51.0,1185.0,9784.0,,2.0,3.0,54.0,79.1759465478842,25895.625,4.0,1.0,2.0,277.0,1185.0,898.0,0.25,1.0,0.0,0.0,0.0,,35.08772,0.0,1.0,4.0,1086.0,328.0,538.0,,,3.0,,2.0,,,,,,,,,,,,
38,kingfishy,15152466595798855494,1591648833000,1591649682000,mp_piccadilly,3.0,1430.0,,1784.0,46.879856,300.0,0.23076923076923078,,1.0,100.11111111111111,3.0,300.0,3514.0,,2.0,0.0,54.0,19.97780244173141,13476.531,8.0,0.0,0.375,10.0,300.0,901.0,0.6666666666666666,1.0,0.0,0.0,0.0,,41.666664,0.0,,1.0,300.0,13.0,872.0,,,,,,,,,,,,,,,,,
39,kingfishy,7406942799785548569,1591647630000,1591648670000,mp_cave_am,1.0,1970.0,,5413.0,110.18376,150.0,0.1,,0.0,137.125,8.0,150.0,7533.0,,1.0,1.0,54.0,8.204193254329992,47292.004,7.0,1.0,0.14285714285714285,72.0,150.0,1097.0,1.0,1.0,0.0,0.0,0.0,,81.96722,0.0,,1.0,312.0,80.0,826.0,,,,,,,,,,,,,,,,,
40,kingfishy,10545726999831877942,1591646495000,1591647514000,mp_m_speed,6.0,3300.0,,4735.0,63.56923,650.0,0.15976331360946747,,1.0,97.0909090909091,27.0,650.0,8685.0,,1.0,1.0,54.0,36.51685393258427,23562.906,10.0,0.0,0.6,142.0,650.0,1068.0,0.16666666666666666,1.0,0.0,0.0,0.0,,51.47059,0.0,,2.0,859.0,169.0,1159.0,,,,,,1.0,,,,,,,,,,,
41,kingfishy,37664042459097633,1591643095000,1591643783000,mp_hardhat,11.0,4290.0,,2430.0,0.0,1170.0,0.2972972972972973,,0.0,183.25,66.0,1270.0,7890.0,,0.0,0.0,54.0,103.956343792633,16947.984,3.0,1.0,3.6666666666666665,156.0,1270.0,733.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,6.0,1246.0,222.0,434.0,,,,2.0,2.0,,,,,,,,,,,,
42,kingfishy,11385545606795160162,1591642463000,1591642968000,mp_rust,6.0,2710.0,,2134.0,39.66189,840.0,0.1839080459770115,,0.0,92.33333333333333,32.0,940.0,5684.0,,2.0,2.0,54.0,101.80505415162455,3560.8413,5.0,1.0,1.2,142.0,940.0,554.0,0.3333333333333333,1.0,0.0,0.0,0.0,,33.333336,0.0,4.0,4.0,803.0,174.0,576.0,1.0,,2.0,,,,,,,,,,,,,,
43,Bonj-Welson,524383898479938673,1592603921000,1592605001000,mp_village2,9.0,4165.0,1.0,3461.0,137.51208,1050.0,0.4,0.0,1.0,124.0,10.0,1300.0,8676.0,,1.0,2.0,54.0,69.89247311827957,27913.166,8.0,0.0,1.125,15.0,1300.0,1116.0,0.1111111111111111,1.0,0.0,0.0,0.0,14.0,92.30769,0.0,,3.0,1009.0,25.0,1029.0,,,2.0,,,,,,,,,,,,,,
44,Bonj-Welson,4885375733968317731,1592148774000,1592149453000,mp_cave_am,7.0,3260.0,,3266.0,110.1508,775.0,0.20300751879699247,1.0,0.0,144.0,27.0,875.0,14602.0,,1.0,1.0,54.0,72.91666666666666,29404.633,4.0,1.0,1.75,106.0,875.0,720.0,0.14285714285714285,1.0,0.0,1.0,0.0,63.0,59.701496,0.0,,2.0,865.0,133.0,480.0,,,2.0,,,,,,,,,,,,,,
45,Bonj-Welson,5418515575200988164,1592147783000,1592148608000,mp_piccadilly,13.0,4755.0,,4532.0,65.48204,1335.0,0.21551724137931033,0.0,0.0,125.14285714285714,50.0,1285.0,21244.0,,3.0,0.0,54.0,88.01369863013699,30323.516,6.0,1.0,2.1666666666666665,182.0,1285.0,876.0,0.23076923076923078,1.0,0.0,0.0,0.0,93.0,64.516136,0.0,1.0,9.0,1626.0,232.0,676.0,,,1.0,,1.0,,,,,,,,,,,,
46,Bonj-Welson,3990565239142076824,1592146955000,1592147668000,mp_vacant,12.0,5040.0,,3590.0,179.00998,1415.0,0.2560386473429952,1.0,0.0,126.83333333333333,53.0,1515.0,20090.0,,1.0,2.0,54.0,119.44809461235218,19007.05,5.0,1.0,2.4,154.0,1515.0,761.0,0.08333333333333333,1.0,0.0,0.0,0.0,102.0,81.08108,0.0,4.0,5.0,1540.0,207.0,739.0,1.0,,1.0,1.0,,,,,,,,,,,,,
